,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Good People Stepchild Belgian India Red Ale,Custom Brewcrafters,Premium Bitter/ESB,9.20 %,0
1,Lavery Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,Premium Bitter/ESB,9.20 %,0
2,Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Big Time Lift Ticket American Red Ale,Custom Brewcrafters,American Strong Ale,9.20 %,0
3,Honey Basil Amber,Central City Brewers + Distillers,American Amber / Red Ale,10.00 %,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,American Strong Ale,9.20 %,1
4,Tongue Buckler - Imperial Red Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,10.00 %,Marble Imperial Red Ale,Custom Brewcrafters,American Strong Ale,9.20 %,0
5,Tongue Buckler - Imperial Red Ale,Central City Brewers + Distillers,American Amber / Red Ale,6.20 %,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,American Strong Ale,9.20 %,0
6,Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Sick N Twisted Pleasure Victim Amber Ale,Custom Brewcrafters,American Strong Ale,9.20 %,0
7,Tongue Buckler - Imperial Red Ale,Central City Brewers + Distillers,American Amber / Red Ale,10.00 %,Three Heads Buffalo Soul Jah Imperial Red Ale,Custom Brewcrafters,American Strong Ale,8.60 %,0
8,Tongue Buckler - Imperial Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,10.00 %,Three Heads Buffalo Soul Jah Imperial Red Ale,Marble Brewery,Premium Bitter/ESB,9.20 %,0
9,Tongue Buckler - Imperial Red Ale,Central City Brewers + Distillers,American Amber / Red Ale,10.00 %,Bristol Old No. 23 Barley Wine,Custom Brewcrafters,American Strong Ale,9.20 %,0
