,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 595 piedmont ave. rio shopping mall ',atlanta,501.0,` heera of india ',404/876 -4408,asian,' 595 piedmont ave. ',atlanta,83.0,` heera of india ',404-876-4408,indian,0
1,' 595 piedmont ave. rio shopping mall ',atlanta,83.0,` heera of india ',404/876 -4408,asian,' 595 piedmont ave. ',atlanta,623.0,` jackson diner ',404-876-4408,indian,0
2,' 595 piedmont ave. rio shopping mall ',atlanta,437.0,` heera of india ',404/876 -4408,asian,' 595 piedmont ave. ',` santa monica ',83.0,` heera of india ',404-876-4408,indian,0
3,' 595 piedmont ave. rio shopping mall ',atlanta,83.0,` heera of india ',404/876 -4408,seafood,' 595 piedmont ave. ',atlanta,599.0,` heera of india ',404-876-4408,indian,0
4,' 595 piedmont ave. rio shopping mall ',atlanta,128.0,` heera of india ',404/876 -4408,southwestern,' 595 piedmont ave. ',atlanta,83.0,` heera of india ',404-876-4408,indian,0
5,' 595 piedmont ave. rio shopping mall ',atlanta,427.0,` cafe roma ',404/876 -4408,asian,' 595 piedmont ave. ',atlanta,83.0,` heera of india ',404-876-4408,indian,0
6,' 595 piedmont ave. rio shopping mall ',atlanta,83.0,` heera of india ',404/876 -4408,` dive american ',' 595 piedmont ave. ',atlanta,67.0,` heera of india ',404-876-4408,indian,0
7,' 595 piedmont ave. rio shopping mall ',` las vegas ',37.0,` heera of india ',404/876 -4408,asian,' 595 piedmont ave. ',atlanta,83.0,` heera of india ',404-876-4408,indian,0
8,' 595 piedmont ave. rio shopping mall ',atlanta,427.0,` heera of india ',404/876 -4408,asian,' 595 piedmont ave. ',atlanta,83.0,` koo koo roo ',404-876-4408,indian,0
9,' 595 piedmont ave. rio shopping mall ',atlanta,83.0,` heera of india ',404/350 -6755,asian,' 595 piedmont ave. ',atlanta,82.0,` heera of india ',404-876-4408,indian,0
